idx	offset	len	original_en	translation_zh	notes
0	0x0200	15	"First Contact"	「第一次接觸」
1	0x0211	368	   Molded by the controlling\rforce of a starship high in\rorbit, millions of particles\rbegin to compress, bond,\rfuse, collide, cling, spin\rand explode. Within that\rchaos a human form begins to\rtake shape and within that,\rintelligence.\r   Slightly disoriented, \r% steps reborn from\rthe electromagnetic chaos and\ronto the surface of a new\rworld.\r   An unfriendly world...	   受高軌道星艦的\r控制之力塑形，無數\r粒子開始壓縮、結合、\r融合、碰撞、纏繞、\r旋轉、爆裂。混沌之\r中漸現人形，意識亦\r在其中萌芽。\r   略感失神，\r% 自電磁混沌\r中再生而出，踏上一\r個嶄新的世界。\r   一個並不友善的\r世界……
2	0x0383	524	   Situated on a low, glassy\rtable a crystalline orb\rthrobs dully as % \renters the room, probes\rblindly with light-formed\rfingers. More fingers form,\rbegin to weave together, knit\rthemselves into the image of\ran alien visage.\r   "Welcome to the OMEGAN\rForward Observational \rStation. We review all the\rtaped narrowcasts from all\rthe local Sector news\rservices. To access a\rnarrowcast, simply step in\rfront of a monitor. Like most\rcommunications in the Local\rGroup, your scanner will take\rcare of all your translation\rneeds."	   矮玻璃桌上置一晶\r球，當 % 步入\r室內時微微脈動，伸\r出由光形成的手指盲\r目探索。更多手指顯\r現、彼此交織、編成\r一張外星臉孔的模樣。\r   「歡迎來到歐米茄\r前哨觀測站。我們彙\r整本地各星區新聞的\r所有錄影。如欲收看，\r只需站到螢幕前。如\r同本群多數通訊，掃\r描器會替您處理翻譯。」
3	0x0591	335	   "Continued violence\rreported in Sector \rKornephoros as Cin Sae Spawn\rmake new appearances on\rEltanin VII and Rutilicus\rColony. And as the death toll\rmounts higher there are\rreports that traders may be \rforcibly ejected from many \rplanets for a part in what is\rbeing called the darkest\rconspiracy since the last\rdays of Kornephoros."	   「庫尼弗洛斯星區\r暴力事件持續，辛賽\r卵生族再現於艾爾塔\r寧七號與盧提利庫斯\r殖民地。死亡人數攀\r升，傳聞商船恐遭多\r星驅離，因涉及號稱\r庫尼弗洛斯末日以來\r最黑暗的陰謀。」
4	0x06E2	516	   Beneath a plaque labelled\rSector Izar, a view of a\rspacecraft drifts across the\rscreen, leaps across a\rpanorama of stars.\r   "That ship looks like the\rETS!" % gasps, \rreferring to the alien craft\rthat exploded when the Earth\rdisappeared. Suddenly a voice\rbegins to accompany the\rvideo.\r   "Forward Station, be\radvised that something is\rmalfunctioning with the\rdrive. There is a possibility\rthat the experiment may have\rbeen sabotaged. Advise \rOMEGA."\r   The image jumps as the\rmessage loops back to the\rbeginning.	   伊薩星區字樣的牌\r匾下方，一艘太空船\r的畫面飄過螢幕，掠\r過漫天星海。\r   「那艘船看起來像\rETS！」% 倒\r抽口氣，指的是地球\r消失時爆炸的外星船\r艦。突然，影片中響\r起一個聲音。\r   「前哨站請注意，\r驅動器出現異常。實\r驗有遭破壞之虞。請\r通知歐米茄。」\r   訊息循環，畫面跳\r回最初。
5	0x08E8	377	   "Representatives of Sector\rCaroli refused to comment\rfurther on statements made\ryesterday concerning the\r'explosive situation'\rdeveloping on Denebola IV. In\ra special communication with\rother sector officials,\rSpeaker Ysaf has said that\rthe matter requires very \rdelicate handling and that he\ris hesitant to make any\rstatements that may threaten\rEldarin offworld interests."	   「卡羅利星區代表\r拒絕進一步評論昨日\r關於丹尼伯拉四號『\r一觸即發局勢』的聲\r明。在與他星區官員\r的特別通訊中，伊薩\r夫議長表示此事須極\r謹慎處理，他不願發\r表任何可能危害艾爾\r達林星外利益之言論。」
6	0x0A63	443	   "At a time when other\rsectors appear to be held in\rthe grasssp of difficult\rtimesss, the citizenss of\rSssector Algieba are jubilant\rtonight as two major events\rssshape the future of ssector\raffairs. On Algieba IV\rPresssident Issshtao is\rcelebrating his sssecond\rinauguration while Princess\rJhenna of Talitha II\rpreparesss for one of the\rgrandest weddings in sssector\rhistory. And we, of\rcoursssse, will be there to\rbring you live coverage."	   「在他星區仍籠罩\r於難關之際，阿吉比\r星區市民今夜歡欣雀\r躍，兩大盛事正型塑\r本星區未來。阿吉比\r四號伊許陶總統慶祝\r第二度就職，塔利薩\r二號珍娜公主籌備本\r星區史上最盛大的婚\r禮之一。我們當然會\r親臨現場為您直播。」
7	0x0C20	271	   "Dhoven Ambassadors will\rmeet with the leaders of\rother races soon in a meeting\rto resolve the issue of Scroe\rand Evian intrusions into\rSector Hyades. The sector,\rdeclared an open territory\rthree spinphases ago, has\rbeen riddled with acts of\rattrition for months now."	   「多文使節將與他\r族領袖會晤，商議解\r決史庫人與伊維恩人\r侵入海雅德斯星區之\r爭。該星區於三個自\r轉週期前宣告為開放\r領域，數月來一直\r飽受消耗戰所苦。」
8	0x0D31	439	   "Scientists are still\rcautiously monitoring the\rformation of a white hole in\rSector Zaurak as lifeforms\rsector wide begin to scramble\rfor safety. Einreb Wahs has\rmore on that story."\r   A starlike glob blazes on\rthe monitor as a\rcommentator's voice drones\rscientific data.\r   "As you know, a white hole\ris the essential opposite of\ra black hole.  Instead of\rsucking in all matter, it\rspews it out in violent gouts\rof plasma and rock..."	   「科學家仍謹慎監\r測佐拉克星區白洞之\r形成，全星區生物開\r始爭相逃離。請看艾\r恩雷布．瓦斯詳細報\r導。」\r   螢幕上一團星狀光\r體閃耀，評論員嗓音\r低吟著科學數據。\r   「眾所周知，白洞\r本質上是黑洞的反面。\r非吸入所有物質，而\r是劇烈噴出電漿與岩\r石……」
9	0x0EEA	429	   "The queen of the Ethnys\rhas confirmed reports that\rthieves have in fact broken\rinto the temple on Ankaq I\rand stolen, quote, several\ritems of importance on which\rour existence as a species\rmay depend, endquote. What\rthis revelation will mean to\rthe lifeforms in Sector\rAnkaq, I am not certain. What\rit means to the queen of\rAnkaq, apparently a great\rdeal. We will simply have to\rwait, to be patient, and hope\rfor a solution."	   「艾斯尼斯女王已\r證實盜賊確曾闖入安\r卡克一號神廟，竊取\r引述『數項對我族存\r續至關重要之物』引\r述完畢。此事將對安\r卡克星區生物意味何\r等影響，本人不敢妄\r斷。對女王而言，顯\r然茲事體大。我們惟\r有等待、忍耐，期盼\r解方出現。」
10	0x1099	403	   His thin leathery lips\rdrawn into a taut line, the\ralien reads a statement on\rthe looped message.\r   "Do not, I repeat, do not\renter Sector Alnasl under any\rcircumstances. Our planetary\rdefense mechanisms have been \rcompromised and the problem\rmay spread to other sectors.\rOminar in all sectors are \radvised NOT to update\rstrandware. Any further\rinquiries should be directed\rto the Ominar Embassies."	   外星人薄革質的雙\r唇緊抿成線，於循環\r訊息中宣讀聲明。\r   「切勿，重複，切\r勿在任何情況下進入\r阿納斯爾星區。我方\r行星防禦機制已遭破\r壞，問題恐蔓延至他\r星區。各星區歐米納\r人請勿更新鏈件。更\r多查詢請洽歐米納大\r使館。」
