file_offset	len	kind	original_en	translation_zh	notes
0x00012343	15	UI	Can't load ship		
0x00012353	18	UI	I'm the leader now		
0x00012366	14	UI	He's dead jim!		
0x00012375	28	UI	Repeat command to quit game.		
0x00012392	36	UI	Thank you for playing Planet's Edge.		
0x000123B7	36	UI	Repeat command to confirm Tele-trans		
0x000123DC	28	UI	Tele-Trans is disrupted here		
0x000123F9	21	UI	Tele-trans activated.		
0x00012414	12	UI	I took a%s%s		
0x00012421	21	UI	I can't carry anymore		
0x00012441	15	UI	I have no items		
0x0001245C	14	UI	Now wearing %s		
0x00012476	13	UI	%s in %s hand		
0x00012484	27	UI	I can't Wear or Wield that!		
0x000124A0	11	UI	Never mind.		
0x000124AC	15	UI	I have no items		
0x000124BC	9	UI	Drop Item		
0x000124C6	10	UI	%s dropped		
0x000124D1	21	UI	There is no room here		
0x000124E7	15	UI	I have no items		
0x000124F7	19	UI	Examine which item?		
0x0001250B	12	UI	Examine Item		
0x00012518	15	UI	I have no items		
0x00012528	15	UI	Use which item?		
0x00012538	8	UI	Use Item		
0x00012541	33	UI	Maybe if I was on the right side!		
0x00012563	15	UI	I have no items		
0x00012573	22	UI	No save during combat.		
0x0001258A	24	UI	This corpse is worthless		
0x000125A3	13	UI	Search corpse		
0x000125B1	21	UI	I can't carry anymore		
0x000125C7	35	UI	Perhaps if I was on the right side.		
0x000125F0	10	UI	It's a%s%s		
0x00012600	10	UI	It's a%s%s		
0x0001260B	30	UI	I cannot move any further now.		
0x0001262A	30	UI	I cannot move any further now.		
0x000128FC	19	UI	Ship's Beam Weapons		
0x00012910	19	UI	Ship's Bolt Weapons		
0x00012924	19	UI	Ship's Proj Weapons		
0x0001295B	11	UI	Ship Repair		
0x00012967	11	UI	Item Repair		
0x0001297D	13	UI	Light Weapons		
0x0001298B	13	UI	Heavy Weapons		
0x00012999	12	UI	Hand Weapons		
0x000129A6	9	UI	First Aid		
0x00012B19	37	UI	Thank you for playing Planet's Edge.$		
0x00012C0A	13	UI	Assault Rifle		
0x00012C2E	12	UI	Machine Gun?		
0x00012C93	13	UI	Assault Laser		
0x00012CB7	13	UI	Electron Gun@		
0x00012CFC	18	UI	Sub-Atomic Blaster		
0x00012D20	14	UI	Blue Quark Gun		
0x00012D44	10	UI	Smart Guna		
0x00012D64	16	UI	Grenade Launcher		
0x00012D88	16	UI	Plasma Generator		
0x00012DE8	17	UI	Mono-Mol Disk Gun		
0x00012E0C	13	UI	Defense Wave@		
0x00012E73	13	UI	Cygnus Cannon		
0x00012E97	12	UI	Chain Sword?		
0x00012EB9	15	UI	Rocket Launcher		
0x00012EDD	10	UI	Death Ray=		
0x00012EFD	17	UI	Microtic Injector		
0x00012F21	14	UI	Tac Nuke Rifle		
0x00012F45	14	UI	Breach Missile		
0x00012FC7	17	UI	Thermite Launcher		
0x00012FEB	13	UI	Scroe Special		
0x0001300F	13	UI	Battle Laserd		
0x00013032	13	UI	Sossee Dagger		
0x00013056	12	UI	Laser Sword?		
0x000131F6	15	UI	Personal Shield		
0x0001325B	15	UI	Admantine Chain		
0x0001327F	12	UI	Teflar Suit?		
0x000132E0	15	UI	Shielded reflec		
0x00013304	16	UI	Dreadnaught Suit		
0x00013358	18	UI	Harmonic Resonator		
0x0001338F	13	UI	Silver Locket		
0x000133C4	18	UI	Algiebian Crystals		
0x000133E1	17	UI	Algiebian Quarter		
0x00013466	17	UI	Geal A'nai Amulet		
0x0001349D	17	UI	Presidents Amulet		
0x000134BA	13	UI	Security Card		
0x000134D7	13	UI	Algiebian Tal		
0x00013510	16	UI	Industrial Badge		
0x0001352D	16	UI	Sector Clearance		
0x0001357C	14	UI	Bag O Diamonds		
0x000135FD	16	UI	ComNav Sq 2345-8		
0x00013633	19	UI	Logic Circuit Alpha		
0x00013650	18	UI	Logic Circuit Beta		
0x0001366D	16	UI	Microchip Viewer		
0x0001368A	19	UI	Gravitic Compressor		
0x000136A7	16	UI	Requisition Form		
0x000136C4	15	UI	Authorized Form		
0x000136E1	13	UI	Mini-Lab Pass		
0x00013717	13	UI	Sonic Pincers		
0x00013777	15	UI	Algieban Invite		
0x00013794	13	UI	Talking Stick		
0x00013812	15	UI	Queens Standard		
0x0001384B	15	UI	Attagi Com-Code		
0x00013883	15	UI	Choassqa Card 1		
0x000138A0	15	UI	Choassqa Card 2		
0x000138BD	15	UI	Choassqa Card 3		
