file_offset	len	kind	original_en	translation_zh	notes
0x0000A3FE	24	UI	Error loading space.exe!		
0x0000A418	38	UI	A memory allocation error has occured!		
0x0000A440	48	UI	The Planet's Edge configuration file is corrupt!		
0x0000A472	44	UI	Please rerun Install to reconfigure program.		
0x0000A5F8	6	UI	%s.vgr		
0x0000A5FF	6	UI	%s.vgw		
0x0000A60E	5	UI	%s.%s		
0x0000A707	26	UI	Please wait while loading.		
0x0000AA13	42	UI	. . . Earth Station  Cambara  calling  any		
0x0000AA3E	42	UI	U.N.F.A.  Moonbase  personnel.   This   is		
0x0000AA69	42	UI	Earth Station Cambara calling any U.N.F.A.		
0x0000AA94	41	UI	Moonbase  personnel.   Instruments   show		
0x0000AABE	41	UI	that at the exact time Earth was released		
0x0000AAE8	43	UI	from   its  dimensional  limbo,  the   Moon		
0x0000AB14	43	UI	slipped   through  a  rift  in  the   time-		
0x0000AB40	43	UI	dimensional   barrier.   Please file   your		
0x0000AB6C	41	UI	report  with  U.N.F.A.  Headquarters  c/o		
0x0000AB9D	19	UI	New World Computing		
0x0000ABB8	15	UI	P.O. Box 4302, 		
0x0000ABC8	34	UI	      Hollywood, California  90078		
0x0000ABF2	21	UI	You will be contacted		
0x0000AC30	15	UI	William R. Dean		
0x0000AC40	18	UI	Osai L. Tsakafuchi		
0x0000AC53	19	UI	Nelson T. Ngatadatu		
0x0000AC67	17	UI	Katya A. Mershova		
0x0000AC79	13	UI	Eric B. Hyman		
0x0000AC87	19	UI	Kenneth L. Mayfield		
0x0000AC9B	13	UI	Neal Hallford		
0x0000ACA9	16	UI	Jonathan P. Gwyn		
0x0000ACBA	12	UI	Todd Hendrix		
0x0000ACC7	18	UI	Contact Specialist		
0x0000ACDA	18	UI	Medical Specialist		
0x0000ACED	14	UI	Chief Engineer		
0x0000ACFC	15	UI	Ground Security		
0x0000AD40	17	UI	Graphics Engineer		
0x0000AD57	21	UI	U.N.F.A. Chief (2083)		
0x0000AD6D	19	UI	Becomes World Heath		
0x0000AD81	23	UI	Retires U.N.F.A. (2047)		
0x0000AD99	21	UI	Killed on Duty (2081)		
0x0000ADAF	20	UI	I'm Outa' Here! (tm)		
0x0000ADC4	14	UI	I'll play your		
0x0000ADD3	22	UI	Soon to be universally		
0x0000ADEA	12	UI	Is this game		
0x0000ADF8	16	UI	Marries Katya M.		
0x0000AE09	20	UI	Administrator (2055)		
0x0000AE21	11	UI	silly game.		
0x0000AE2D	11	UI	    famous!		
0x0000AE39	13	UI	finished yet?		
0x0000AE47	17	UI	Lick the chalice!		
0x0000B175	34	UI	Please insert diskette containing 		
0x0000B19A	9	UI	in drive 		
0x0000B21F	12	UI	Cannot find 		
0x0000B251	31	UI	Please enter new program spec: 		
0x0000B5C9	15	UI	run-time error 		
0x0000A39A	7	DEBUG	sfx.vga		
0x0000A3A2	9	DEBUG	sword.vgr		
0x0000A3AC	8	DEBUG	moon.vga		
0x0000A3B5	8	DEBUG	test.vga		
0x0000A3BE	6	DEBUG	sphere		
0x0000A3C5	9	DEBUG	title.vgr		
0x0000A49F	8	DEBUG	ship.vga		
0x0000A4A8	9	DEBUG	ship1.vga		
